,Chromosome,Start,End,Strand,TCGA.K4.A5RI.11A.11R.A28M.07,TCGA.K4.A54R.11A.11R.A26T.07,TCGA.K4.A3WV.11A.21R.A22U.07,TCGA.GC.A3BM.11A.11R.A22U.07,TCGA.GC.A3WC.11A.11R.A22U.07,TCGA.GD.A3OP.11A.11R.A220.07,TCGA.GD.A3OQ.11A.21R.A220.07,TCGA.BT.A20R.11A.11R.A16R.07,TCGA.GD.A2C5.11A.11R.A180.07,TCGA.BT.A2LA.11A.11R.A18C.07,TCGA.BT.A2LB.11A.11R.A18C.07,TCGA.BL.A13J.11A.13R.A10U.07,TCGA.BT.A20W.11A.11R.A14Y.07,TCGA.BT.A20U.11A.11R.A14Y.07,TCGA.BT.A20Q.11A.11R.A14Y.07,TCGA.BT.A20N.11A.11R.A14Y.07,TCGA.CU.A0YR.11A.13R.A10U.07,TCGA.CU.A0YN.11A.11R.A10U.07,TCGA.GC.A6I3.11A.11R.A31N.07
1,chr10,100189154,100189329,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,chr10,100189222,100189329,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,chr10,100189431,100189547,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,chr10,100903994,100904156,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,chr10,101371244,101372299,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,chr10,101373292,101373452,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,chr10,101379801,101379926,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,chr10,101477918,101478102,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,chr10,101477962,101478102,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,chr10,101552116,101553290,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,chr10,101571292,101572901,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,chr10,101654702,101656154,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,chr10,101923876,101927104,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,chr10,101977751,101982737,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,chr10,101998017,102003454,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,chr10,102265666,102265796,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,chr10,102265683,102265796,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,chr10,102283601,102283733,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,chr10,102283610,102283733,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,chr10,102283614,102283733,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,chr10,102286155,102289636,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,chr10,102286731,102286831,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,chr10,102289153,102289249,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,chr10,102289153,102289257,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,chr10,102289153,102289597,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,chr10,102289153,102289615,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,chr10,102289153,102289635,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,chr10,102304707,102305725,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,chr10,102675755,102698493,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,chr10,102683731,102685776,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,chr10,102683731,102690835,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,chr10,102739028,102739177,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,chr10,102743244,102743511,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,chr10,102743361,102743511,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,chr10,102743374,102743511,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,chr10,102743378,102743511,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,chr10,102743385,102743511,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,chr10,102743387,102743511,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,chr10,102746360,102746505,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,chr10,102747637,102747725,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,chr10,102763923,102764078,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,chr10,103340065,103342551,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,chr10,103384501,103436193,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,chr10,103427642,103436193,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,chr10,103432671,103436193,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,chr10,103542703,103543029,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,chr10,103552595,103567658,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,chr10,103552595,103570071,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,chr10,103557736,103560157,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,chr10,103558598,103560157,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,chr10,103559998,103570071,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,chr10,103559998,103573363,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,chr10,103565801,103573363,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,chr10,103716353,103717489,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,chr10,103734968,103773781,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,chr10,103750307,103773781,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,chr10,103783233,103789502,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,chr10,103868105,103868785,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,chr10,103868618,103868791,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,chr10,103869496,103869677,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,chr10,103902855,103903989,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,chr10,103916775,103917971,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,chr10,104111012,104119192,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,chr10,104130617,104135087,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,chr10,104130617,104135095,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,chr10,104158495,104158621,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,chr10,104210775,104210899,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,chr10,104210775,104210929,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,chr10,104557852,104569612,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,chr10,104632204,104638748,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,chr10,104632204,104650435,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,chr10,104853728,104866463,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,chr10,104857150,104858687,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,chr10,104896005,104934739,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,chr10,104934614,104934739,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,chr10,105073942,105086389,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,chr10,105104780,105108756,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,chr10,105106994,105107207,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,chr10,105108472,105108756,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,chr10,1051757,1053068,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,chr10,105177689,105178159,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,chr10,105197771,105198565,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,chr10,105199502,105200607,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,chr10,105207349,105209143,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,chr10,105509539,105509678,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,chr10,1056460,1058349,+,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,chr10,105767934,105770666,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,chr10,105767934,105778666,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,chr10,105777917,105778666,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,chr10,105791523,105791961,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,chr10,105840379,105840442,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,chr10,106014720,106014836,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,chr10,106019333,106022835,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,chr10,106071985,106072075,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,chr10,106071985,106072109,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,chr10,106071985,106072127,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,chr10,106071985,106072128,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,chr10,1095581,1095705,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,chr10,1095581,1095706,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,chr10,1095581,1095710,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,chr10,1095581,1095712,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,chr10,111631426,111631549,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,chr10,1118055,1126416,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,chr10,1118055,1132297,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,chr10,111987946,112039843,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,chr10,112266912,112267053,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,chr10,112333464,112344154,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,chr10,112341680,112341856,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,chr10,112356155,112358048,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,chr10,1125950,1126416,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,chr10,1125950,1142186,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,chr10,112631776,112631848,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,chr10,112640990,112650428,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,chr10,112645010,112645124,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,chr10,112647572,112649320,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,chr10,112647572,112649321,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,chr10,112647572,112649322,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,chr10,112647572,112649326,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,chr10,112647572,112649330,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,chr10,112647572,112649334,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,chr10,112711365,112745523,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,chr10,112723882,112724819,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,chr10,112723882,112745523,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,chr10,1130342,1142186,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,chr10,1139391,1151207,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,chr10,114176780,114177575,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,chr10,1149538,1151207,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,chr10,11523768,11527910,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,chr10,11551593,11569566,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,chr10,11560533,11639716,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,chr10,115636279,115644139,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,chr10,116070112,116100490,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,chr10,116247716,116251637,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,chr10,116331055,116361720,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,chr10,11639629,11639716,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,chr10,116590610,116608496,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,chr10,116603499,116608496,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
